Coin_name,Holding Percentage
bitcoin,0.1
ethereum,0.1
ripple,0.1
litecoin,0.1
ethereum_classic,0.1
steem,0.1
dash,0.0831639
nem,0.0575499
maidsafecoin,0.04514348
nxt,0.02829729
lisk,0.02506257
dogecoin,0.02455357
monero,0.02442005
digixdao,0.02064606
factom,0.01827148
waves,0.01728599
bitshares,0.01266364
stellar,0.01123358
siacoin,0.00873653
gamecredits,0.00558177
syscoin,0.00417048
decred,0.00410158
bitcoindark,0.00282112
digibyte,0.00210931
stratis,0.00137433
nav_coin,0.00090381
blocknet,0.00078132
vertcoin,0.00076421
verge,0.0002142
pivx,0.00014983
